"111-44","tob"
"12-4 2-4Duplicities","rb1"
"12th Street Rag","jfk"
"12th Street Rag","tbk"
"1983","lrb"
"26-2","nr2"
"317 E. 32nd St","jlt"
"34 Skidoo","ebk"
"34 Skidoo","nr3"
"500 Miles High","hlr"
"500 Miles High","nr2"
"502 Blues","rb1"
"52nd Street Theme","rb2"
"6Ms","tob"
"720 In The Books","jlt"
"728","rb2"
"920 Special","jfk"
"AC-DC Current","jfk"
"ASA","nr2"
"A Fonte Secou","lrb"
"A Mess Of Blues","blu"
"A Mi Que","lrb"
"A Nivel De","lrb"
"Ablution","rb2"
"Ac-cent-tchu-ate The Positive","agz"
"Achin Hearted Blues","agz"
"Across The Alley From The Alamo","jfk"
"Actual Proof","nr3"
"Adams Apple","jlt"
"Adios","hlr"
"Adios Muchachos","tbk"
"Aerie (The)","nr3"
"Affirmatiion","hlr"
"Affirmation","nr1"
"Affirmation","rb2"
"Afreaka","jlt"
"Africa","col"
"Africaine","jlt"
"African Flower","rb1"
"Afro Blue","blu"
"Afro Blue","rb1"
"Afro Blue","lrb"
"Afro Centric","nr2"
"After All","hlr"
"After Fact","jlt"
"After Hours","jfk"
"After The Lovin","tbk"
"After The Rain","hlr"
"After The Rain","nr2"
"After You","rb3"
"After You","srb"
"After Youve Gone","blu"
"After Youve Gone","jfk"
"After Youve Gone","nr2"
"After Youve Gone","rb3"
"After Youve Gone","agz"
"Aftermath (Part II)","hlr"
"Afternoon In Paris","col"
"Afternoon In Paris","jfk"
"Afternoon In Paris","rb1"
"Afternoon In Paris","tob"
"Afternoon In Paris","agz"
"Again","agz"
"Again","srb"
"Aggravatin Papa","agz"
"Agua De Beber (Water To Drink)","hlr"
"Agua De Beber","srb"
"Aguardiente De Cana","lrb"
"Aguas De Marco (Waters Of March)","hlr"
"Ah-Leu-Cha","jfk"
"Ah-leu-cha","agz"
"Ah-leu-cha","jlt"
"Ah Leu Cha","tob"
"Ah Mari","tbk"
"Aint It The Truth","jlt"
"Aint Misbehavin","nr2"
"Aint Misbehavin","rb3"
"Aint Misbehavin","jfk"
"Aint No Sunshine","srb"
"Aint She Sweet","hlr"
"Aint She Sweet","tbk"
"Aint That Peculiar","nr3"
"Aint Cha Glad","agz"
"Aint Misbehavin","agz"
"Aint She Sweet","agz"
"Air Conditioning","jlt"
"Air Conditioning","lib"
"Air Dancing","hlr"
"Air Mail Special","jfk"
"Air Mail Special","agz"
"Airegin","jfk"
"Airegin","nr1"
"Airegin","rb1"
"Airegin","lib"
"Airmail Special","rb2"
"Aisha","hlr"
"Aisha","jlt"
"Aja","hlr"
"Ajas Theme","nr3"
"Al Di La","tbk"
"Alabama","hlr"
"Alabama Jubilee","agz"
"Alabamy Bound","agz"
"Alamo (on The)","agz"
"Alanjuneally","rb3"
"Alardoso","cub"
"Alexanders Ragtime Band","agz"
"Alexanders Ragtime Band","tbk"
"Alfie","rb1"
"Alfie","hlr"
"Alfies Theme","rb2"
"Algo Bueno","lib"
"Algo Bueno (Woodyn You)","col"
"Alice Blue Gown","agz"
"Alice In Wonderland","hlr"
"Alice In Wonderland","rb1"
"Alice In Wonderland","srb"
"Alivio","cub"
"All About Ronnie","jfk"
"All About Ronnie","srb"
"All Alone","agz"
"All Alone","hlr"
"All Alone","rb2"
"All Blues","col"
"All Blues","jfk"
"All Blues","rb1"
"All Gods Chillun Got Rhythm","rb2"
"All Gods Chillun Got Rhythm","tob"
"All I Do Is Dream Of You","agz"
"All In Love Is Fair","rb1"
"All Members","jlt"
"All Members","tob"
"All My Loving","tbk"
"All My Tomorrows","rb1"
"All My Tomorrows","srb"
"All Of Me","jfk"
"All Of Me","nr1"
"All Of Me","rb1"
"All Of Me","tbk"
"All Of You","rb1"
"All Of You","tbk"
"All Of You","jfk"
"All Of You","srb"
"All Or Nothing At Al","rb3"
"All Or Nothing At All","jfk"
"All Or Nothing At All","blu"
"All Or Nothing At All","nr1"
"All Or Nothing At All","rb3"
"All The Things You Are","col"
"All The Things You Are","jfk"
"All The Things You Are","nr1"
"All The Things You Are","rb1"
"All The Things You Are","tbk"
"All The Way","srb"
"All Through The Night","srb"
"All Too Soon","jlt"
"All You Were To Us","col"
"All Gods Chillun Got Rhythm","agz"
"All My Life","agz"
"All Of Me","agz"
"All Of You","agz"
"All Or Nothing At All","agz"
"All That Meat And No Potatoes","agz"
"All The Things You Are","agz"
"All Through The Night","agz"
"All Too Soon","agz"
"Allans Alley","nr3"
"Alley Cat Song","tbk"
"Allez Vous En","tbk"
"Alligator Crawl","agz"
"Alma Con Alma","cub"
"Almendra","cub"
"Almendra","lrb"
"Almost Like Being In Love","jlt"
"Almost Like Being In Love","nr3"
"Almost Like Being In Love","tbk"
"Almost Like Being In Love","agz"
"Alone","agz"
"Alone Together","col"
"Alone Together","rb1"
"Alone Together","srb"
